Sample	Gene	Chr	Start	End	log2	CN	CNV.type	Weight
17296	SDHB	1	17053947	17054020	-0.72317	1	deletion	0.971015
17296	MUTYH	1	45331419	45331557	0.523366	3	duplication	0.80009
17296	MUTYH	1	45331660	45331850	0.217159	3	duplication	0.986651
17296	MUTYH	1	45333096	45333171	0.234279	3	duplication	0.976121
17296	EPCAM	2	47369505	47369582	-1.23125	0	deletion	0.851037
17296	MSH6	2	47783233	47783494	-0.475018	1	deletion	0.941345
17296	VHL	3	10141847	10142188	-0.871095	1	deletion	0.961411
17296	MLH1	3	37048903	37049018	0.20139	3	duplication	0.985716
17296	BAP1	3	52402287	52402422	0.214384	3	duplication	0.990879
17296	BAP1	3	52406828	52406908	0.614857	3	duplication	0.960652
17296	PMS2	7	5977587	5977758	-0.361995	1	deletion	0.884989
17296	BMPR1A	10	86756627	86756931	-0.657494	1	deletion	0.84323
17296	MEN1	11	64809649	64810110	-0.434061	1	deletion	0.992026
17296	ATM	11	108319953	108320059	0.204006	3	duplication	0.988677
17296	SDHD	11	112086907	112086960	-0.302959	1	deletion	0.947986
17296	HNF1A	12	120994163	120994406	0.488764	3	duplication	0.982898
17296	HNF1A	12	120997473	120997666	0.214311	3	duplication	0.979975
17296	HNF1A	12	120999482	120999628	0.530136	3	duplication	0.950412
17296	BRCA2	13	32315462	32315679	-0.501959	1	deletion	0.95087
17296	PALB2	16	23641109	23641158	-0.375556	1	deletion	0.968295
17296	CDH1	16	68737415	68737464	-0.674486	1	deletion	0.905429
17296	CDH1	16	68738296	68738412	0.380329	3	duplication	0.980492
17296	FLCN	17	17216379	17216504	0.280427	3	duplication	0.980105
17296	NF1	17	31095309	31095370	-1.46261	0	deletion	0.96029
17296	BRCA1	17	43095845	43095923	-0.300062	1	deletion	0.988574
17296	BRCA1	17	43125259	43125382	-0.384604	1	deletion	0.969367
17296	RAD51C	17	58692643	58692789	-0.254725	1	deletion	0.9868
17296	STK11	19	1206913	1207204	-0.322855	1	deletion	0.99089
17296	STK11	19	1218416	1218501	-0.406008	1	deletion	0.976305
17296	STK11	19	1220580	1220718	-0.369779	1	deletion	0.967775
17296	STK11	19	1221948	1222007	-0.329723	1	deletion	0.980457
17296	STK11	19	1227581	1228447	-0.563086	1	deletion	0.973028
17296	CHEK2	22	28741757	28741856	-0.338723	1	deletion	0.954289
17297	SDHB	1	17027748	17027866	-0.2664	1	deletion	0.985185
17297	MUTYH	1	45329305	45329438	0.20009	3	duplication	0.990277
17297	MUTYH	1	45331419	45331557	-0.257756	1	deletion	0.800006
17297	MUTYH	1	45340218	45340255	0.342317	3	duplication	0.93398
17297	EPCAM	2	47369505	47369582	0.228434	3	duplication	0.850924
17297	EPCAM	2	47386571	47386614	0.251744	3	duplication	0.964923
17297	MSH2	2	47478271	47478520	-0.318314	1	deletion	0.968166
17297	MLH1	3	37040185	37040295	0.224993	3	duplication	0.97159
17297	PMS2	7	5973398	5973543	-0.271755	1	deletion	0.978022
17297	PMS2	7	5977587	5977758	-0.262997	1	deletion	0.884913
17297	PMS2	7	6003689	6003793	0.220684	3	duplication	0.990284
17297	HNF1A	12	120993519	120993707	-0.511696	1	deletion	0.782334
17297	POLE_L424V	12	132673652	132673676	0.212781	3	duplication	0.979984
17297	PALB2	16	23641109	23641158	0.208832	3	duplication	0.968154
17297	FLCN	17	17215184	17215317	-0.309069	1	deletion	0.973591
17297	NF1	17	31163185	31163377	0.218001	3	duplication	0.986666
17297	NF1	17	31181709	31181786	0.31143	3	duplication	0.977132
17297	NF1	17	31235917	31236022	0.232422	3	duplication	0.981111
17297	NF1	17	31352256	31352415	0.287831	3	duplication	0.973922
17297	BRCA1	17	43115725	43115780	0.260998	3	duplication	0.969358
17297	BRCA1	17	43125259	43125382	0.319804	3	duplication	0.969278
17297	BRIP1	17	61863272	61863406	0.262716	3	duplication	0.967394
17297	SMAD4	18	51058124	51058245	-0.298087	1	deletion	0.993416
17297	STK11	19	1220580	1220718	-0.382711	1	deletion	0.967691
17297	CHEK2	22	28711908	28712018	0.218156	3	duplication	0.977371
17298	MUTYH	1	45331419	45331557	-0.855052	1	deletion	0.798458
17298	MUTYH	1	45332390	45332489	-0.380534	1	deletion	0.97308
17298	MUTYH	1	45333096	45333171	-0.448579	1	deletion	0.973906
17298	MUTYH	1	45333412	45333604	-0.27019	1	deletion	0.988122
17298	EPCAM	2	47369505	47369582	0.794209	4	duplication	0.848851
17298	EPCAM	2	47379768	47379970	-0.383046	1	deletion	0.955861
17298	MSH2	2	47414268	47414419	0.242209	3	duplication	0.975625
17298	MSH2	2	47478271	47478520	-0.34729	1	deletion	0.967014
17298	MSH6	2	47804909	47805028	0.354789	3	duplication	0.983596
17298	MLH1	3	37000954	37001054	0.264593	3	duplication	0.97348
17298	MLH1	3	37040185	37040295	0.362207	3	duplication	0.969855
17298	BAP1	3	52409841	52409879	0.327969	3	duplication	0.968356
17298	APC	5	112737876	112737937	0.485016	3	duplication	0.969021
17298	APC	5	112821895	112821992	0.249797	3	duplication	0.979757
17298	PMS2	7	5991972	5992058	0.2171	3	duplication	0.98603
17298	PMS2	7	6008996	6009020	0.366609	3	duplication	0.94911
17298	BMPR1A	10	86756627	86756931	0.494949	3	duplication	0.84213
17298	BMPR1A	10	86900026	86900127	0.254559	3	duplication	0.986385
17298	BMPR1A	10	86923375	86923507	-0.281757	1	deletion	0.958605
17298	PTEN	10	87864469	87864549	0.308901	3	duplication	0.98083
17298	MEN1	11	64807178	64807220	-0.462301	1	deletion	0.926763
17298	MEN1	11	64807551	64807681	-0.325271	1	deletion	0.964405
17298	AIP	11	67483033	67483257	0.262149	3	duplication	0.984499
17298	ATM	11	108227624	108227697	-0.269366	1	deletion	0.98334
17298	ATM	11	108227775	108227889	0.25541	3	duplication	0.974705
17298	ATM	11	108229177	108229324	0.271765	3	duplication	0.985675
17298	ATM	11	108250700	108251073	-0.301557	1	deletion	0.980157
17298	ATM	11	108279490	108279609	0.233061	3	duplication	0.975742
17298	ATM	11	108284226	108284474	-0.292851	1	deletion	0.991813
17298	ATM	11	108304674	108304853	0.217387	3	duplication	0.979118
17298	ATM	11	108319953	108320059	-0.318411	1	deletion	0.986815
17298	ATM	11	108365081	108365219	-0.314053	1	deletion	0.980176
