CHR	START	STOP	GENE	NUMBER_OF_TARGETS	NUMBER_OF_TARGETS_PASS_SHAPIRO.WILK_TEST	ABBERATION	CNV.type
2	189818016	189818181	PMS1	1	0	DEL	deletion
2	189867798	189867930	PMS1	1	0	DEL	deletion
2	232024276	232030081	DIS3L2	2	2	DUP	duplication
2	232334630	232334736	DIS3L2	1	1	DUP	duplication
3	10034468	10034537	FANCD2	1	0	DUP	duplication
3	10062150	10062212	FANCD2	1	0	DUP	duplication
3	10078080	10078198	FANCD2	1	0	DUP	duplication
3	52409553	52409609	BAP1	1	0	DUP	duplication
5	112737876	112737937	APC	1	1	DUP	duplication
7	55171174	55171214	EGFR	1	1	DUP	duplication
7	55200315	55200414	EGFR	1	0	DUP	duplication
7	148815505	148815547	EZH2	1	0	DUP	duplication
8	31116353	31116529	WRN	1	0	DEL	deletion
8	117812871	117812962	EXT1	1	1	DUP	duplication
9	95126528	95126582	FANCC	1	1	DUP	duplication
11	108331443	108331558	ATM	1	0	DEL	deletion
13	32315462	32355289	BRCA2	14	5	DEL	deletion
13	48307279	48360128	RB1	6	0	DEL	deletion
14	65102303	65102340	MAX	1	0	DUP	duplication
14	95091033	95091110	DICER1	1	1	DUP	duplication
15	89301325	89301443	FANCI	1	1	DEL	deletion
17	31232072	31232190	NF1	1	0	DUP	duplication
17	43097243	43097290	BRCA1	1	1	DUP	duplication
19	45355664	45355729	ERCC2	1	1	DEL	deletion
19	50406432	50406456	POLD1_L474P	1	1	DUP	duplication
19	50406444	50406468	POLD1_S478N	1	1	DUP	duplication
21	35048841	35048900	RUNX1	1	1	DUP	duplication
22	28741757	28741856	CHEK2	1	1	DUP	duplication
