CHR:START-STOP	SAMPLE	17304.normalized.coverage.txt	17306.normalized.coverage.txt	17301.normalized.coverage.txt	17296.normalized.coverage.txt	17299.normalized.coverage.txt	17303.normalized.coverage.txt	17298.normalized.coverage.txt	17307.normalized.coverage.txt	17305.normalized.coverage.txt	17300.normalized.coverage.txt	17297.normalized.coverage.txt
1:17018880-17018959	1.07742925171892	1.01465413971588	1.03937947141521	0.98335241534474	0.983645862858332	0.91533006208543	1.03127182180879	0.985233128878615	1.00666382580221	1.00655876314468	1.02555483412075	1.00581039998976
1:17022607-17022731	0.396457502593986	0.375508411604753	0.392401631365979	0.430906646006727	0.42938890698098	0.39691365105151	0.42973306667753	0.370732543146228	0.330321136912521	0.357791042548466	0.335352278713623	0.373362987762131
1:17023972-17024075	0.774598827849666	0.80871641617564	0.871844059581545	0.926229554417497	0.906740287574853	0.768871213266936	0.826901916524608	0.727809517720625	0.799125133377721	0.911971436007506	0.819549101844161	0.805925780490794
1:17027748-17027866	0.949609416556461	0.873576976565198	0.920038592563747	0.946257015949121	1.03087016194446	0.853492080120704	1.003943981976	0.876513064001121	0.93876095831612	0.946227672230734	0.873403186767089	0.773976476355514
1:17028599-17028737	1.15765413244888	1.08907936164554	1.07523900775084	1.12924071559079	1.12366813527265	0.99273009132723	1.19557309763516	1.01002557551004	1.12652890356275	1.00594044675236	1.08807423458542	1.10175638179305
1:17033059-17033146	0.733057291466181	0.777133078240701	0.683425489877093	0.701366567807879	0.683189959836917	0.645107844425537	0.726774907790719	0.784019852673144	0.709414383459251	0.657817761255493	0.682846171693148	0.666680027768809
1:17044760-17044889	0.674307831811616	0.597278807234237	0.648719955306724	0.600205589292121	0.60358699492931	0.540160369355959	0.614169724083674	0.634572679089441	0.750787231886212	0.623571327609217	0.636923528559204	0.623970805178254
1:17053947-17054020	0.381655594105214	0.419180381020359	0.417785396121326	0.420425337529043	0.210022308252648	0.402609868892588	0.394846699683068	0.388714006501539	0.429191610984156	0.422815305688987	0.429161481728632	0.38246745214954
1:45329305-45329438	0.660695737213199	0.614278701523435	0.654763505292254	0.60784899836249	0.642297311127756	0.621751861420662	0.642562346959454	0.663460189239309	0.591082326284159	0.599088260606531	0.608770595147238	0.735655859300957
1:45330515-45330558	0.882465292165415	0.829608873492305	0.75210227196867	0.775969537703513	0.721018906750771	0.763528588024188	0.823384471793655	0.800239401435791	0.757984650306038	0.745286909437189	0.813328302126665	0.777117894989128
1:45331181-45331335	1.34841176406541	1.34297069169549	1.33124788825527	1.38000966964718	1.51281376512064	1.35472647329363	1.39054458159071	1.33423100917654	1.32466959888502	1.34032142745213	1.49574266125808	1.36108597975217
1:45331419-45331557	0.157268928357885	0.200722126450062	0.164481153828243	0.262342853805895	0.293232893027916	0.209751923919607	0.206748557388437	0.135511685579073	0.172779395232268	0.212537211327047	0.228922938377521	0.203194461662983
1:45331660-45331850	0.394574430207034	0.418809530563389	0.404296397709493	0.472639983862301	0.523280266638289	0.443155815659546	0.459436375406676	0.37652231721814	0.416300256761067	0.426394000320628	0.433344665920441	0.426947253752797
1:45332022-45332087	0.507477213601006	0.567389353818974	0.470873751404399	0.571725917359044	0.664878791425551	0.488056116221672	0.564307955517476	0.466398953889849	0.42448128954497	0.421590737614443	0.544122234191899	0.600384049119221
1:45332165-45332311	0.577690626041867	0.575382229024251	0.613915262066154	0.618105301958594	0.701920722189814	0.567071149859216	0.628943787755653	0.501923593388366	0.578729547693853	0.616315912576421	0.637754975342738	0.576219536392587
1:45332390-45332489	0.403649159939312	0.438177582930392	0.430092183835848	0.459685648758243	0.557782433015719	0.414170161735188	0.477791547967634	0.350542112241905	0.42139851019169	0.412545221221447	0.490532842065227	0.409386435778535
1:45332573-45332688	0.710721894020439	0.750357128539121	0.702481905694267	0.740218762074693	0.879905145943866	0.69187543174289	0.805248144775912	0.724785335957098	0.81768383923207	0.765422910584121	0.76029839791051	0.717426677063622
1:45332762-45332835	0.860235442726076	0.901908311352893	0.820992758090852	0.962466827087571	1.07402062567233	0.898933695194319	0.943709730463363	0.84072106930322	0.801636845332437	0.899107438869749	0.965055402995354	0.876891781208201
1:45332917-45332960	0.604448245074036	0.595953039630078	0.580983470949813	0.700461142758878	0.801623124926264	0.633369762046136	0.687500488704294	0.670180593158258	0.548555527872515	0.637544524031243	0.724815031058705	0.649031800114208
1:45333096-45333171	0.648706443213219	0.674836667667744	0.598135356446228	0.736360570261414	0.860819171788614	0.66420184473537	0.723164354228652	0.502781175366719	0.627292922347898	0.694465072210481	0.679937664967231	0.715000525448384
1:45333284-45333325	1.16336931711373	1.14123533254727	1.08394958403833	1.16299144782779	1.27876248847561	1.10105358112075	1.33798981914	1.05206316298045	1.23928517681015	1.15632705807441	1.16998367988954	1.19228935924565
1:45333412-45333604	0.788994136631955	0.835580750384164	0.925714571616635	0.912127897124482	0.983474917178449	0.90711896655061	0.953561758917933	0.733847654546064	0.826226219835409	0.906278400931887	0.921398737799554	0.887910730789356
1:45334390-45334512	0.819186863508856	0.830026194153958	0.830137580968532	0.806875613629844	0.903840871238136	0.793556148228457	0.927905103233334	0.758355214489625	0.814439585648852	0.841694499709798	0.854350495491495	0.85417272612228
1:45340218-45340255	0.782267850042131	0.718321845084138	0.718450725677248	0.645711306288419	0.578767680276684	0.65843808673506	0.616202202328664	0.685151023366406	0.740521803097552	0.721957530337246	0.674461119112149	0.764217505337281
1:161314405-161314426	0.434404409713971	0.530348044785128	0.5813527515147	0.620498597125429	0.45551917519167	0.532194603517171	0.305334893498089	0.497390242657822	0.529401139645525	0.554393788018827	0.609831442354193	0.628487327319625
1:161323613-161323671	1.00091654235049	0.874624834121749	1.05019289536385	0.973588690002906	0.885357647110005	1.01133442548263	0.942014672255913	0.985205370688515	0.994897868193872	0.924548896280529	0.945856352173596	1.07104573678646
1:161328395-161328498	0.61641594970907	0.655742880626411	0.665942790541301	0.62631291245875	0.685128084233513	0.586516756292108	0.658434617357386	0.636232326665947	0.654085829330155	0.644367117589415	0.634404275945428	0.625510068329573
1:161340593-161340656	1.12242148826626	1.30812714998895	1.16478954473587	1.20790458440022	1.3167590509587	1.16514720575629	1.28416177352876	0.984320030520062	1.21166717589686	1.21959892207377	1.0515985292504	1.17796269944389
1:161356676-161356841	1.75669064337646	1.88936918070554	1.6454697466967	1.77107220797521	1.78844702337878	1.80110733155648	1.85915257476305	1.71640577047346	1.66602021338152	1.72679933442667	1.82214520942536	1.81388944333766
