CHR	START	STOP	GENE	17300.best.score.totallist	17299.best.score.totallist	17306.best.score.totallist	17304.best.score.totallist	17302.best.score.totallist	17307.best.score.totallist	17301.best.score.totallist	17298.best.score.totallist	17305.best.score.totallist
1	17018880	17018959	SDHB	1.31580563636239	1.31498690476947	1.31573546214517	1.31583331593791	1.31533743439611	1.31583821102235	1.31577863925932	1.31578750326651	1.315838188944
1	17022607	17022731	SDHB	1.32068102433942	1.32247469599698	1.32251817141226	1.32243065694356	1.32248038454789	1.32031297679212	1.32121648403252	1.32233515833587	1.32192207852467
1	17023972	17024075	SDHB	1.32011497504673	1.31953141186614	1.31992011657952	1.32005325312663	1.31963468628342	1.3199698210025	1.31882810962432	1.31851774344923	1.31920398332037
1	17027748	17027866	SDHB	1.32001778503359	1.31974467247544	1.32028603816235	1.32001975478706	1.32018133205763	1.32024483590776	1.32020407695059	1.32005194490494	1.32020426369522
1	17028599	17028737	SDHB	1.31765567007895	1.31677936903243	1.31762716528419	1.31765670864234	1.31731244528999	1.31757077463447	1.3175550611099	1.31705118301843	1.31699143499795
1	17033059	17033146	SDHB	1.31821388169433	1.3175565353102	1.31821950108639	1.31728746198901	1.3181876887144	1.31833025473396	1.31832565331337	1.31707067072456	1.31784159919705
1	17044760	17044889	SDHB	1.3209184424532	1.31875851266269	1.32085644957297	1.3206005010912	1.32046951524104	1.31717912427697	1.32065132529318	1.32092212176002	1.32090130393567
1	17053947	17054020	SDHB	1.33772978176984	1.33829859501257	1.33809066736789	1.33805594007049	1.33808325074788	1.33772858969678	1.33802270858873	1.33822001135727	1.33795298059767
1	45329305	45329438	MUTYH	1.31804714674957	1.31820235990949	1.31821611453824	1.31812321692115	1.31815975763416	1.31770192796314	1.31803295461087	1.31812729870506	1.3178771684117
1	45330515	45330558	MUTYH	1.31751533377937	1.31750424895245	1.31738664257814	1.31733881256096	1.31613611814498	1.31745248407642	1.31758387723341	1.31759232648281	1.31729635978241
1	45331181	45331335	MUTYH	1.31566933806418	1.31638819652423	1.31629704351874	1.31634992804673	1.31636948238308	1.31626095194505	1.31642008699268	1.31631189211685	1.3163392600545
1	45331419	45331557	MUTYH	1.36173188156293	1.36235100833371	1.35697133148221	1.36202694805277	1.35527715239775	1.35864402128487	1.356147884971	1.34884670880809	1.36237256928336
1	45331660	45331850	MUTYH	1.32257198299172	1.32254953804505	1.32202849647012	1.32241288215275	1.32164691039959	1.32236242511183	1.32183772437364	1.32067860365394	1.32252435700931
1	45332022	45332087	MUTYH	1.33466939586368	1.33394429344784	1.33327100069623	1.3342867753401	1.33445362099207	1.33043565475505	1.33416981363648	1.33306179129019	1.33021082962428
1	45332165	45332311	MUTYH	1.32079011691596	1.32076811516244	1.32110227439367	1.32091733575734	1.32095197102503	1.32096658958259	1.32107134007683	1.31829693308136	1.32108579104426
1	45332390	45332489	MUTYH	1.3279191574871	1.32857701328792	1.32895070513206	1.32903965526095	1.32818755545909	1.3287790826869	1.32893949787852	1.32454182315148	1.32852421749871
1	45332573	45332688	MUTYH	1.31977655581761	1.31897423620871	1.31920570494744	1.31976265550266	1.31935871507709	1.3191536164637	1.31971212132436	1.31956529774938	1.31976984901202
1	45332762	45332835	MUTYH	1.32097580416568	1.32135367562236	1.32040150444502	1.32136043308253	1.32106605546202	1.31993797137141	1.32101165797027	1.32078200561551	1.32135413104467
1	45332917	45332960	MUTYH	1.32498062678039	1.32585291007109	1.3245630406278	1.32506008251456	1.32529677849032	1.32314132731637	1.32561409004828	1.32599126455398	1.3259009547225
1	45333096	45333171	MUTYH	1.33087010148373	1.33076528526704	1.32915940029555	1.33084805878265	1.33055632576419	1.33009719203761	1.330335151535	1.32366103874422	1.33086963588664
1	45333284	45333325	MUTYH	1.31920530939515	1.31876959478573	1.31855471171776	1.31910811754611	1.31919376197145	1.31893171250657	1.31919290646625	1.31804271467282	1.31917434711393
1	45333412	45333604	MUTYH	1.32099084238552	1.32109350173708	1.32094902657522	1.3207978081692	1.31989828967961	1.32066121908177	1.32106371629678	1.31813640517738	1.32109784316779
1	45334390	45334512	MUTYH	1.317353083848	1.31709570509395	1.31737966746166	1.31737939177867	1.31733526138735	1.31730518358794	1.31724379719826	1.31646157226012	1.31738851786157
1	45340218	45340255	MUTYH	1.32204908347005	1.32184292309998	1.3220558625696	1.32205705900958	1.32055923442672	1.32174366093678	1.321603098154	1.32212665704181	1.32202052959362
1	161314405	161314426	SDHC	1.34410332433603	1.34604289015284	1.34535332370687	1.34603359427732	1.34221368086888	1.34602785680261	1.34346909623595	1.34545131442893	1.34595706320139
1	161323613	161323671	SDHC	1.318140104953	1.3180880892025	1.31760921045274	1.31715524465064	1.31815915101448	1.31818927632576	1.31823206262701	1.31822105079898	1.31795748341246
1	161328395	161328498	SDHC	1.31593583178652	1.31519781493566	1.31580119369551	1.31589972476111	1.31579004364342	1.31591073995388	1.3158900387772	1.3159416729116	1.31594742961763
1	161340593	161340656	SDHC	1.32006398571342	1.32142370691193	1.32142229721165	1.32047503349396	1.32112550213508	1.32144857082231	1.32145832950572	1.31841679742004	1.32142115573873
1	161356676	161356841	SDHC	1.31596529328512	1.31601723232336	1.31550534410866	1.31560103403009	1.31603106981446	1.31566199444577	1.3160407509749	1.31593237229797	1.31596788924872
1	161362328	161362434	SDHC	1.32050781413152	1.32045799199706	1.31934774206102	1.32029439108126	1.32052230947259	1.31976117820793	1.31926166535816	1.3186510674851	1.32041032259906
1	193122200	193122332	CDC73	1.32480667693532	1.32506070448485	1.32501273808402	1.32534209276613	1.32448279030065	1.32520959904095	1.32534343654326	1.32514892980029	1.32535654473886
1	193125111	193125218	CDC73	1.31684648222795	1.31664894886896	1.31683973151722	1.31671406526281	1.31681666527862	1.31682601628819	1.3165133204475	1.31676732211638	1.31684518352586
1	193130173	193130244	CDC73	1.31674523395915	1.31691546730742	1.31691922497795	1.31692083983213	1.31672317840171	1.31692022920536	1.3169211889756	1.3159638080038	1.31683414810886
1	193135390	193135454	CDC73	1.31695379266816	1.31702320878792	1.31684889250031	1.31702830634533	1.31585926618254	1.3166008905584	1.31699995940536	1.31702552512502	1.31673419436449
1	193135536	193135590	CDC73	1.32478776728722	1.32513724264863	1.32522974584141	1.3251698943505	1.32484518154074	1.3225469507191	1.32351296366673	1.32415706357288	1.32528459328047
1	193138084	193138174	CDC73	1.32495302789834	1.32553875293627	1.32483032048024	1.32525769913869	1.31860004304626	1.32482317685869	1.32554162739959	1.32533965466451	1.32443337732514
1	193141849	193142067	CDC73	1.31682243530108	1.31666395447943	1.31671229004114	1.31660053184177	1.31647674335581	1.31673184821248	1.3166750331619	1.31661908811412	1.3168423330693
1	193147866	193147966	CDC73	1.31852999393058	1.31825660543036	1.31838370185265	1.31792823866763	1.31739459427525	1.31831200847246	1.31848520848368	1.31854277994662	1.31814016637496
1	193150303	193150383	CDC73	1.31531031762642	1.31574478869466	1.31584949068971	1.31572075898885	1.31577064434574	1.31585077568129	1.31585936840443	1.31561831904294	1.31584684203648
1	193152379	193152445	CDC73	1.32027473024791	1.31956157448795	1.32021121631916	1.32023357327374	1.32027796296135	1.32028191155156	1.31675184219115	1.31993531450259	1.32012609067775
1	193203794	193203853	CDC73	1.31496233937386	1.31505643596359	1.3150164706467	1.31510432370148	1.31501181810267	1.31505103530996	1.31510435450966	1.31500198114668	1.31498448870656
1	193212064	193212101	CDC73	1.31847457904899	1.31907201100447	1.31903620041131	1.31888991568767	1.31906476191982	1.31755455246969	1.31749843695521	1.31905818071616	1.31896940962338
1	193212389	193212478	CDC73	1.31523317728057	1.31557053503875	1.31542717297637	1.3155377736726	1.31549402818331	1.31528362936035	1.31557376574633	1.31554110993593	1.31510919746785
1	193232992	193233155	CDC73	1.31573777899697	1.31569188147741	1.31571870031456	1.3154862743081	1.31540818215508	1.31529102662867	1.31552290300038	1.31574347127742	1.31573445107898
1	193236255	193236357	CDC73	1.32039328513004	1.31798913100972	1.32072652137614	1.32075614990651	1.32128026623396	1.32051799146636	1.32130009151194	1.32128938107958	1.32115378537849
1	193249729	193249872	CDC73	1.31651032574397	1.31632445545997	1.31638425618743	1.31554117630602	1.3165107715748	1.31596617088506	1.31649903822342	1.31648750189717	1.31646309824544
1	193250675	193250713	CDC73	1.32040970081053	1.31973358008219	1.31958653264378	1.31907620065471	1.32073873171332	1.32056806736145	1.31989573195131	1.32058254885033	1.32077339076441
1	241497827	241497971	FH	1.34029625987951	1.3405992727046	1.34123416410638	1.34086080896789	1.3413562703693	1.3410902725986	1.34132484516468	1.34064511214262	1.34134047774523
1	241500436	241500591	FH	1.34294631163015	1.34238915323043	1.34270168758278	1.34311084084733	1.34285819597558	1.3431307145797	1.34284263326171	1.34275446089417	1.34312371374165
1	241502442	241502571	FH	1.34020107438519	1.34108653453053	1.34143647669126	1.341472472649	1.34117223953728	1.34134362726032	1.3414753674103	1.34125114354029	1.34137951536912
1	241504041	241504246	FH	1.33786994116755	1.33692097987654	1.33786991962433	1.33781304364632	1.33782317838065	1.33786720762643	1.33782714997381	1.33731062646756	1.33785768609051
1	241506002	241506169	FH	1.33439052022823	1.33433897442314	1.33442337729894	1.33444857070415	1.33366494426536	1.33395281538223	1.33438223439886	1.33445592119581	1.3344127356803
1	241508602	241508786	FH	1.34269513434559	1.34219288487915	1.34229501238109	1.34301970982976	1.34305060209421	1.34183633624581	1.3422992407091	1.34303634025931	1.34281758984017
1	241511966	241512144	FH	1.34056086031131	1.34015335418252	1.3404269195342	1.34048192773882	1.34008163411957	1.33981784694591	1.34037417049539	1.34037628125334	1.34050102484689
1	241513602	241513714	FH	1.33873673176231	1.33861194501501	1.33871244169451	1.33855384378076	1.33873793044698	1.33881324138469	1.33878314591981	1.33880902504589	1.33864825722703
1	241517181	241517317	FH	1.33995131175747	1.33993389075145	1.33997455692633	1.3394372637787	1.33997329474393	1.33894555389857	1.33932718574997	1.33996049038441	1.33975255508755
1	241519590	241519723	FH	1.49580368225269	1.48832589994196	1.4849702981956	1.48654850529332	1.48406846593325	1.48440408057895	1.48398802507002	1.48969984173301	1.49578555092785
2	29193223	29193923	ALK	1.31748503451082	1.3174753182356	1.31722277773871	1.31739862033906	1.31748503243285	1.31748360607825	1.31694532959825	1.31592138287798	1.31746859217515
2	29196769	29196861	ALK	1.31539418436362	1.31541557341735	1.31528239242462	1.31541798237062	1.31534550631252	1.31536156266943	1.3150793692764	1.31535973955531	1.31514392804871
2	29197541	29197677	ALK	1.31916627926359	1.31982020933489	1.31989700144361	1.31990368848366	1.31971991389054	1.31980375224766	1.31963549964448	1.3173930204025	1.31975294861863
