CHR	START	STOP	GENE	NUMBER_OF_TARGETS	NUMBER_OF_TARGETS_PASS_SHAPIRO.WILK_TEST	ABBERATION	CNV.type
2	47369505	47369582	EPCAM	1	1	DEL	deletion
2	47783233	47783494	MSH6	1	0	DEL	deletion
3	10141847	10142188	VHL	1	0	DEL	deletion
3	52409841	52409879	BAP1	1	1	DEL	deletion
10	86756627	86756931	BMPR1A	1	0	DEL	deletion
12	120999482	120999628	HNF1A	1	1	DEL	deletion
13	32315462	32315679	BRCA2	1	0	DEL	deletion
13	48303912	48304050	RB1	1	0	DEL	deletion
16	68737415	68738412	CDH1	2	0	DEL	deletion
17	17236900	17237151	FLCN	1	0	DEL	deletion
17	31095309	31095370	NF1	1	0	DEL	deletion
17	35119531	35119614	RAD51D	1	0	DEL	deletion
18	51030201	51030635	SMAD4	1	0	DEL	deletion
19	1220580	1220718	STK11	1	0	DEL	deletion
19	1227581	1228447	STK11	1	1	DEL	deletion
22	28696900	28725368	CHEK2	8	0	DEL	deletion
