CHR	START	STOP	GENE	NUMBER_OF_TARGETS	NUMBER_OF_TARGETS_PASS_SHAPIRO.WILK_TEST	ABBERATION	CNV.type
1	17027748	17027866	SDHB	1	0	DUP	duplication
1	45329305	45331335	MUTYH	3	0	DUP	duplication
1	45331660	45334512	MUTYH	11	3	DUP	duplication
1	161340593	161340656	SDHC	1	1	DUP	duplication
1	193122200	193122332	CDC73	1	1	DUP	duplication
1	193125111	193142067	CDC73	6	0	DEL	deletion
1	193203794	193212478	CDC73	3	2	DEL	deletion
1	193249729	193250713	CDC73	2	0	DEL	deletion
1	241497827	241513714	FH	8	0	DEL	deletion
2	29223341	29223529	ALK	1	1	DUP	duplication
2	29227573	29227673	ALK	1	0	DUP	duplication
2	47373807	47374049	EPCAM	1	0	DEL	deletion
2	47403191	47403403	MSH2	1	0	DUP	duplication
2	47445547	47466809	MSH2	3	0	DEL	deletion
2	47476366	47476572	MSH2	1	0	DEL	deletion
2	47482778	47482950	MSH2	1	0	DEL	deletion
2	47798610	47801156	MSH6	1	0	DEL	deletion
2	47806203	47806861	MSH6	3	1	DEL	deletion
2	58159764	58165875	FANCL	7	1	DEL	deletion
2	58198578	58198663	FANCL	1	0	DUP	duplication
2	58204129	58232113	FANCL	5	1	DEL	deletion
2	58241217	58241314	FANCL	1	0	DUP	duplication
2	96253807	96254116	TMEM127	1	0	DUP	duplication
2	96265137	96265382	TMEM127	1	1	DUP	duplication
2	127279172	127287018	ERCC3	3	1	DUP	duplication
2	127293512	127293719	ERCC3	1	0	DUP	duplication
2	189795768	189867930	PMS1	9	1	DEL	deletion
2	189873495	189873657	PMS1	1	1	DUP	duplication
2	214728664	214730520	BARD1	2	0	DEL	deletion
2	214745710	214797129	BARD1	7	0	DEL	deletion
2	232014927	232030081	DIS3L2	4	0	DEL	deletion
2	232130618	232163633	DIS3L2	3	0	DEL	deletion
2	232329812	232336631	DIS3L2	7	1	DUP	duplication
3	10043049	10043151	FANCD2	1	0	DEL	deletion
3	10063791	10067318	FANCD2	6	3	DEL	deletion
3	10081099	10081465	FANCD2	2	1	DEL	deletion
3	10093284	10098951	FANCD2	5	1	DEL	deletion
3	10146513	10146637	VHL	1	0	DUP	duplication
3	14145940	14148732	XPC	4	0	DUP	duplication
3	14152334	14152417	XPC	1	1	DUP	duplication
3	14158010	14158893	XPC	1	0	DUP	duplication
3	14167168	14173063	XPC	4	3	DEL	deletion
3	36993547	36993664	MLH1	1	1	DUP	duplication
3	36996618	37004475	MLH1	3	2	DEL	deletion
3	37020309	37020464	MLH1	1	1	DUP	duplication
3	37040185	37040295	MLH1	1	0	DEL	deletion
3	52402287	52409609	BAP1	15	3	DUP	duplication
3	128481018	128481319	GATA2	1	0	DUP	duplication
3	128483859	128486369	GATA2	2	2	DUP	duplication
4	41748369	41748611	PHOX2B	1	0	DUP	duplication
4	54658014	54658082	KIT	1	1	DUP	duplication
4	54695511	54707288	KIT	5	1	DEL	deletion
